identifier,type,currentTag,nfcSerial,locationName,status,keyCount,fobCount,keyDescription,address,notes
A24-002,Day Shift,,,No Keys Held,Present,0,0,,"Wellpark, 120 Sydney Street, Glasgow, G31 1JF",Code to enter Premises
A24-002,Night Shift,,,No Keys Held,Present,0,0,,"Wellpark, 120 Sydney Street, Glasgow, G31 1JF",Code to enter Premises
A24-004,Day Shift,,,Van 1,Present,4,0,,"4 Sutherland Avenue, Glasgow, G41 4JH",
A24-004,Night Shift,,,Van 2,Present,4,0,,"4 Sutherland Avenue, Glasgow, G41 4JH",
A24-007,Day Shift,,,Van 1,Present,3,0,,"Scotland Cat Centre, Cardyke Farm, Kirkintilloch, Glasgow, G66 5LD",
A24-007,Night Shift,,,No Keys Held,Present,0,0,,"Scotland Cat Centre, Cardyke Farm, Kirkintilloch, Glasgow, G66 5LD",
A24-014,Day Shift,,,Van 1,Present,4,0,,"Shred-It, 18 Marlow Street Glasgow, G41 1LR",
A24-014,Night Shift,,,Van 2,Present,4,0,,"Shred-It, 18 Marlow Street Glasgow, G41 1LR",
A24-015,Day Shift,,,Van 1,Present,6,0,,"Airbles House, Airbles Road, Motherwell ML1 3AT",
A24-015,Night Shift,,,Van 2,Present,6,0,,"Airbles House, Airbles Road, Motherwell ML1 3AT",
A24-017,Day Shift,,,Van 1,Present,3,1,,"Maryhill Burgh Halls, 10-24 Gairbraid Avenue, Glasgow, G20 8YE",
A24-017,Night Shift,,,Van 2,Present,3,1,,"Maryhill Burgh Halls, 10-24 Gairbraid Avenue, Glasgow, G20 8YE",
A24-023,Day Shift,,,Van 1,Present,1,2,,"Coughtrie International Ltd, 69 - 71 Montrose Avenue, Hillington, Glasgow, G52 4LA",
A24-023,Night Shift,,,Van 2,Present,1,2,,"Coughtrie International Ltd, 69 - 71 Montrose Avenue, Hillington, Glasgow, G52 4LA",
A24-030,Day Shift,,,Van 1,Present,1,1,,"Teknek, River Drive, Inchinnan, PA4 9RT",
A24-030,Night Shift,,,Van 2,Present,1,1,,"Teknek, River Drive, Inchinnan, PA4 9RT",
A24-031,Day Shift,,,Van 1,Present,6,1,,"Constantine Ltd, North Caldeen Road, Coatbridge, ML5 4EF",
A24-031,Night Shift,,,Van 2,Present,6,1,,"Constantine Ltd, North Caldeen Road, Coatbridge, ML5 4EF",
A24-032,Day Shift,,,Van 1,Present,1,0,,"32 Hamilton Drive, Glasgow, G12 8EE",
A24-032,Night Shift,,,Van 2,Present,1,0,,"32 Hamilton Drive, Glasgow, G12 8EE",
A24-033,Day Shift,,,Van 1,Present,1,0,,"1 Drymen Wynd, Bearsden, Glasgow, G61 2UB",
A24-033,Night Shift,,,Van 2,Present,1,0,,"1 Drymen Wynd, Bearsden, Glasgow, G61 2UB",
A24-034,Day Shift,,,Van 1,Present,1,0,,"23 Craigmillar Avenue, Milngavie,  Glasgow, G62 8AX",
A24-034,Night Shift,,,Van 2,Present,1,0,,"23 Craigmillar Avenue, Milngavie,  Glasgow, G62 8AX",
A24-037,Day Shift,,,Van 1,Present,2,1,,"Blue Square Business Centre, 272-274 Bath Street, Glasgow, G2 4JR",
A24-037,Night Shift,,,Van 2,Present,2,1,,"Blue Square Business Centre, 272-274 Bath Street, Glasgow, G2 4JR",
A24-042,Day Shift,,,Van 1,Present,2,2,,"Right There, 15 & 17 Dava Street, Glasgow, G51 2JA",
A24-042,Night Shift,,,Van 2,Present,2,2,,"Right There, 15 & 17 Dava Street, Glasgow, G51 2JA",
A24-043,Day Shift,,,Van 1,Present,2,2,,"Robertson Trust, 152 Bath Street, Glasgow, G2 4TB",
A24-043,Night Shift,,,Van 2,Present,2,2,,"Robertson Trust, 152 Bath Street, Glasgow, G2 4TB",
A24-043,Lock Up,,,Van 3,Present,2,2,,"Robertson Trust, 152 Bath Street, Glasgow, G2 4TB",
A24-050,Day Shift,,,Van 1,Present,7,0,,"Argyle House, 209 Govan Road, Glasgow, G51 1HJ",
A24-050,Night Shift,,,Van 2,Present,7,1,,"Argyle House, 209 Govan Road, Glasgow, G51 1HJ",
A24-051,Day Shift,,,Van 1,Present,0,0,,"Kintyre House, 209 Govan Road, Glasgow, G51 1HJ",Keys on A24-050
A24-051,Night Shift,,,Van 2,Present,0,0,,"Kintyre House, 209 Govan Road, Glasgow, G51 1HJ",Keys on A24-050
A24-052,Day Shift,,,Van 1,Present,4,1,,"Pavilion 4, Clyde Marine Recrutement, 355 Govan Road, Glasgow, G51 2SE",
A24-052,Night Shift,,,Van 2,Present,4,1,,"Pavilion 4, Clyde Marine Recrutement, 355 Govan Road, Glasgow, G51 2SE",
A24-055,Day Shift,,,Van 1,Present,0,1,,"Turning Point (Scotland) 1 Sandyford Road, Paisley, PA3 4HD",
A24-055,Night Shift,,,Van 2,Present,1,1,,"Turning Point (Scotland) 1 Sandyford Road, Paisley, PA3 4HD",
A24-057,Day Shift,,,Van 1,Present,3,2,,"490 Argyle Street, Glasgow, G2 8AL",
A24-057,Night Shift,,,Van 2,Present,3,2,,"490 Argyle Street, Glasgow, G2 8AL",
A24-058,Day Shift,,,Van 1,Present,1,0,,"31 Thorn Road, Glasgow, Bearsden, G61 4BS",
A24-058,Night Shift,,,Van 2,Present,1,0,,"31 Thorn Road, Glasgow, Bearsden, G61 4BS",
A24-059,Day Shift,,,Van 1,Present,2,0,,"Soapbox Design, 614 Eglinton St, Glasgow, G5 9RR",
A24-059,Night Shift,,,Van 2,Present,2,0,,"Soapbox Design, 614 Eglinton St, Glasgow, G5 9RR",
A24-061,Day Shift,,,Van 1,Present,6,0,,"Decourcy's Arcade, 5 Cresswell Lane, Glasgow, G12 8AA",
A24-061,Night Shift,,,Van 2,Present,6,0,,"Decourcy's Arcade, 5 Cresswell Lane, Glasgow, G12 8AA",
A24-064,Day Shift,,,Van 1,Present,5,1,,"Cerebral Palsy Scotland, 10 High Craighall Road, G4 9UD",
A24-064,Night Shift,,,Van 2,Present,5,1,,"Cerebral Palsy Scotland, 10 High Craighall Road, G4 9UD",
A24-066,Day Shift,,,Van 1,Present,5,2,,"Tomo Technology, unit 1-1, 17 Brand Place, Glasgow, G51 1DR",
A24-066,Night Shift,,,Van 2,Present,5,2,,"Tomo Technology, unit 1-1, 17 Brand Place, Glasgow, G51 1DR",
A24-067,Day Shift,,,Van 1,Present,4,3,,"1 Robroyston Oval, Rowan House, Glasgow, G33 1AP",
A24-067,Night Shift,,,Van 2,Present,3,0,,"1 Robroyston Oval, Rowan House, Glasgow, G33 1AP",
A24-067,Lock Up,,,Van 3,Present,1,3,,"1 Robroyston Oval, Rowan House, Glasgow, G33 1AP",
A24-068,Day Shift,,,Van 1,Present,4,0,,"Morrison Construction, Rowan House, 1 Robroyston Oval, Glasgow, G33 1AP",
A24-068,Night Shift,,,Van 2,Present,4,1,,"Morrison Construction, Rowan House, 1 Robroyston Oval, Glasgow, G33 1AP",
A24-070,Day Shift,,,Van 1,Present,2,1,,"Thomson Pavilion, Todd Campus, Glasgow, G20 0XA",
A24-070,Night Shift,,,Van 2,Present,2,1,,"Thomson Pavilion, Todd Campus, Glasgow, G20 0XA",
A24-070,Lock Up,,,Van 3,Present,2,2,,"Thomson Pavilion, Todd Campus, Glasgow, G20 0XA",
A24-073,Day Shift,,,Van 1,Present,2,1,,"Scottish Leather, 273-289 Dunn St, Glasgow, G40 3EA",
A24-073,Night Shift,,,Van 2,Present,2,1,,"Scottish Leather, 273-289 Dunn St, Glasgow, G40 3EA",
A24-075,Day Shift,,,Van 1,Present,1,2,,"18 Woodside Crescent, Glasgow, G3 7UL",
